subject,lr
102008,LR
103818,LR
105014,RL
107422,LR
111413,LR
114419,LR
117122,LR
118932,LR
120212,RL
120515,RL
121618,LR
122620,LR
123420,LR
124826,RL
127630,RL
128127,RL
133827,RL
137027,RL
138231,LR
139637,RL
141826,LR
142828,RL
144226,RL
146331,RL
150726,LR
153833,LR
158035,LR
180937,LR
186141,RL
187143,LR
199251,RL
212419,LR
214726,RL
308331,RL
433839,RL
592455,RL
771354,LR
837560,LR
889579,LR
987983,LR
