subject,scan
7130,clamped
7130,free
7883,clamped
7883,free
10577,clamped
10577,free
10649,clamped
10649,free
11069,clamped
11069,free
11164,clamped
11164,free
11175,clamped
11175,free
11308,clamped
11308,free
11402,clamped
11402,free
11494,clamped
11494,free
11515,clamped
11515,free
11570,clamped
11570,free
11672,clamped
11672,free
