subject,lr,old,rest_scan,relational_scan,wm_scan,rest_ppg_quality,rest_resp_quality,relational_ppg_quality,relational_resp_quality,wm_ppg_quality,wm_resp_quality
826454,RL,0,1,1,1,,,,,,
833148,RL,0,1,1,1,,,,,,
837560,LR,1,1,1,1,good,good,good,good,good,good
849971,LR,0,1,1,1,,,,,,
861456,LR,0,1,1,1,,,,,,
877269,RL,0,1,1,1,,,,,,
889579,LR,1,1,1,1,good,good,good,good,good,good
894673,RL,0,1,1,1,,,,,,
896879,LR,0,1,1,1,,,,,,
912447,LR,0,1,1,1,,,,,,
965771,LR,0,1,1,1,,,,,,
978578,RL,0,1,1,1,,,,,,
987983,LR,1,1,1,1,good,good,bad,bad,good,good
